"Municipality","Age","1998 Total","1999 Total","2000 Total","2001 Total","2002 Total","2003 Total","2004 Total","2005 Total","2006 Total","2007 Total","2008 Total","2009 Total","2010 Total","2011 Total","2012 Total","2013 Total","2014 Total","2015 Total","2016 Total","2017 Total"
"Reykjavík","Total",106753,108484,109887,111544,112411,112554,113288,113848,114968,116642,118827,119547,118326,118898,118814,119764,121230,121822,122460,123246
"Kópavogur","Total",19867,21508,22693,23647,24291,25016,25352,25803,26512,27525,28885,29976,30357,30779,31205,31726,32308,33205,34140,35246
"Seltjarnarnes","Total",4602,4698,4665,4673,4659,4608,4577,4548,4471,4471,4454,4403,4395,4320,4313,4322,4381,4411,4415,4450
"Garðabær","Total",7855,7887,7939,8066,8462,8706,8878,9053,9444,9556,9982,10358,10643,10909,11283,13872,14180,14453,14717,15230
"Hafnarfjörður","Total",18196,18656,19158,19688,20264,20720,21207,22000,22498,23751,25036,25850,25913,26099,26486,26808,27357,27875,28189,28703
"Sveitarfélagið Álftanes","Total",1361,1429,1439,1545,1751,1769,1886,2032,2205,2276,2378,2518,2523,2484,2419,-,-,-,-,-
"Mosfellsbær","Total",5246,5540,5869,6113,6323,6473,6589,6817,7165,7516,8192,8403,8553,8642,8854,8978,9075,9300,9481,9783
"Kjalarneshreppur","Total",588,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Kjósarhreppur","Total",138,142,142,151,140,146,140,143,163,182,191,196,197,210,220,205,221,216,217,220
"Reykjanesbær","Total",10405,10443,10624,10856,10937,10923,10908,10952,11367,11952,13440,14172,14091,13971,14137,14231,14527,14924,15233,16350
"Grindavíkurbær","Total",2134,2179,2242,2314,2341,2379,2434,2494,2614,2701,2779,2850,2837,2821,2830,2860,2888,2995,3126,3218
"Sandgerði","Total",1319,1336,1325,1359,1400,1401,1389,1398,1538,1660,1749,1754,1710,1683,1672,1581,1609,1580,1577,1708
"Sveitarfélagið Garður","Total",1141,1186,1183,1218,1213,1233,1290,1329,1377,1487,1460,1550,1515,1452,1477,1429,1409,1425,1425,1511
"Sveitarfélagið Vogar","Total",716,715,732,784,839,866,932,937,1019,1112,1231,1218,1206,1161,1126,1105,1127,1102,1148,1206
"Akranes","Total",5125,5186,5340,5450,5510,5595,5588,5657,5786,5976,6401,6609,6549,6623,6592,6625,6699,6767,6908,7051
"Hvalfjarðarstrandarhreppur","Total",167,165,149,161,157,168,154,147,148,-,-,-,-,-,-,-,-,-,-,-
"Skilmannahreppur","Total",126,127,139,143,146,144,153,166,216,-,-,-,-,-,-,-,-,-,-,-
"Innri-Akraneshreppur","Total",124,113,121,127,126,114,122,117,113,-,-,-,-,-,-,-,-,-,-,-
"Leirár- og Melahreppur","Total",128,133,138,124,128,122,133,130,128,-,-,-,-,-,-,-,-,-,-,-
"Andakílshreppur","Total",280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Skorradalshreppur","Total",52,53,45,47,57,65,55,64,64,56,61,57,61,57,60,57,58,62,53,58
"Lundarreykjadalshreppur","Total",96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Reykholtsdalshreppur","Total",221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Hálsahreppur","Total",89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Borgarfjarðarsveit","Total",-,683,671,687,687,689,694,668,736,-,-,-,-,-,-,-,-,-,-,-
"Hvalfjarðarsveit","Total",-,-,-,-,-,-,-,-,-,608,686,641,624,617,627,610,617,635,622,636
"Hvítársíðuhreppur","Total",84,83,84,82,84,84,85,84,82,-,-,-,-,-,-,-,-,-,-,-
"Þverárhlíðarhreppur","Total",72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Borgarhreppur","Total",133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Álftaneshreppur","Total",96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Borgarbyggð","Total",2073,2417,2429,2473,2527,2529,2587,2594,2720,3710,3781,3744,3542,3476,3470,3469,3535,3539,3637,3677
