date,Arab-American,Asian/Pacific Islander,Black,Hispanic/Latino,Native American,Other,Unknown,White
2015-01-01,,,M,,,,,
2015-01-02,,M,,,,,,M
2015-01-03,,,,M,,,,M
2015-01-04,,,,,,,,"M,M"
2015-01-05,,,M,"M,M",,,,
2015-01-06,,,"M,M",,,,,"M,F,M"
2015-01-07,,,"M,M,M",,,,,"M,M"
2015-01-08,,,"M,M",,,,,"M,M,M"
2015-01-09,,,,M,,,,M
2015-01-11,,,,"M,M",,,,
2015-01-12,,,,,,,,M
2015-01-13,,,,,,,,"M,M"
2015-01-14,,,"M,M",,,,,"M,M,M,M,M"
2015-01-15,,,"M,M",M,,,,"M,M,F"
2015-01-16,,M,"M,M",M,,,M,"M,M"
2015-01-17,,,M,"M,M",,,,
2015-01-18,,,,,,,,"M,M"
2015-01-19,,,,,,,,M
2015-01-21,,,M,M,,,,"M,M,M"
2015-01-22,,,M,,,,,F
2015-01-23,,,M,M,,,,M
2015-01-24,,,M,,,,,M
2015-01-25,,,,M,,,M,
2015-01-26,,,M,"N,M,M",,,,M
2015-01-27,,,M,,M,,,M
2015-01-28,,M,,,M,,,"M,M"
2015-01-29,,,,,,,,"M,M"
2015-01-30,,,,,,,M,"F,M"
2015-01-31,,,M,M,,,,
2015-02-02,,M,,,,,,"M,M,M"
2015-02-03,,,"M,M,F,F",,,,,M
2015-02-04,,,"M,M","M,M,M",,,,M
2015-02-05,,,M,M,,,,M
2015-02-06,,,M,,,,,
2015-02-07,,,M,,,,,M
2015-02-08,,,,,,,,"M,M"
2015-02-09,,,M,,,,,"M,M"
2015-02-10,,,M,"M,M",,,,"M,M"
2015-02-11,,,M,,,,,M
2015-02-13,,,,M,,,,"M,M,M"
2015-02-14,,,,,,,,M
2015-02-15,,,M,M,,,,"M,M,M,M,M"
2015-02-16,,,,,,,,"M,M"
2015-02-17,,,,M,,,,"M,M,F,M"
2015-02-19,,,F,,,,,
2015-02-20,,,M,"M,M",,,,
2015-02-21,,,M,,,,,"M,M"
2015-02-22,,,M,M,,,,M
2015-02-23,,,M,,,,,"M,M,M"
2015-02-24,,,,,,,,"M,M"
2015-02-25,,,M,,,,,"M,M"
2015-02-26,,,,"M,M",,,,"F,M"
2015-02-27,,,,M,,,,"M,M"
2015-02-28,,,"M,M",F,,,,"F,M"
2015-03-01,,,"M,M,M",,,,,"M,M"
2015-03-02,,,M,F,,,,
2015-03-03,,,M,,,,,M
2015-03-04,,M,,,,,,M
2015-03-05,,,M,M,,,,M
2015-03-06,,,"M,M,M,M",,,,,"M,M"
2015-03-07,,,,,,,,M
2015-03-08,,,F,M,,,,M
2015-03-09,,F,"M,M",,,,,"M,M"
2015-03-10,,,"M,M,M",M,,,,"M,M"
2015-03-11,,,M,"M,M",,,,"M,M,M"
2015-03-12,,,"M,M",M,,,,
2015-03-13,,,,"M,M",,,,"M,M,M"
2015-03-14,,,,M,,,,M
2015-03-15,,,,,,,,"M,M"
2015-03-16,,M,,,,,,"M,M"
2015-03-17,,,M,M,,,,"M,M,F,M,M"
2015-03-18,,,,,,,,"M,F,M"
2015-03-19,,,"M,M",,M,,,"M,M,M,M"
2015-03-20,,,M,,,,,"M,M"
2015-03-21,,,,,,,,"M,M,M,M"
2015-03-22,,,"M,M",,,,,"M,M"
2015-03-23,,,,,,,,M
2015-03-24,,,"M,M",,,,,"M,M,M"
2015-03-25,,,M,M,,,,
2015-03-26,,,,M,,,,F
2015-03-27,,,"F,M,M,M",M,,,,"M,M,M"
2015-03-29,,,M,,,,,M
